Primeros 10 caracteres,lP en P,lP en N,lP en T,Clasificación
split numb,26.97,27.3,28.0,T
tanks deli,40.79,20.29,52.07,T
operating ,26.44,32.37,37.68,T
efficiency,120.17,72.77,99.72,P
subscriber,101.16,91.2,126.66,T
Finnish co,94.06,81.0,108.84,T
Finnish co,50.92,53.78,54.76,T
plants gro,35.54,23.88,33.46,P
total surv,37.16,32.22,41.41,T
method sme,21.9,7.82,44.97,T
growth net,43.76,43.83,49.55,T
profit acc,18.75,20.53,23.11,T
pretax pro,52.58,52.25,57.99,T
name buyer,0.7,0.2,20.33,T
preliminar,28.53,7.13,42.88,T
operating ,34.29,31.82,49.48,T
deal know ,32.02,43.41,52.5,T
Motorola a,75.66,52.1,79.33,T
company cl,45.82,42.74,46.02,T
almost two,36.34,24.14,53.29,T
may compan,57.16,36.66,86.7,T
Finnish in,59.68,72.12,79.47,T
audio webc,23.51,7.82,40.64,T
estimated ,38.95,45.19,30.2,N
outvote sc,62.85,55.58,78.15,T
newspeak e,79.77,59.29,99.7,T
affect pro,105.78,75.72,96.11,P
office spa,21.85,15.85,35.34,T
order valu,19.08,14.06,20.03,T
brassware ,32.57,23.47,63.85,T
previously,52.78,49.17,55.84,T
rap ala va,96.08,22.56,111.27,T
burin says,29.05,7.13,26.25,P
earnings p,36.73,33.68,36.78,T
Okhotsk ce,43.8,23.47,46.02,T
Lt operati,0.7,7.82,8.08,T
proa pl eu,134.53,91.49,138.95,T
Alexandria,82.08,54.89,69.4,P
sale savor,88.48,83.08,110.96,T
value orde,25.88,30.0,24.62,N
q company ,89.87,90.81,90.87,T
want credi,6.67,0.2,35.86,T
consumptio,22.19,7.82,23.73,T
reconnoite,111.16,38.2,144.57,T
building c,67.11,49.13,74.78,T
ecu mainly,6.27,7.82,13.61,T
quality ch,64.53,44.35,74.93,T
turbines e,11.99,14.35,19.21,T
February F,89.55,65.22,77.68,P
scantily e,22.9,37.71,37.65,N
contract c,37.37,46.23,59.29,T
company sp,9.83,20.41,40.63,T
Elisa said,59.56,55.49,69.97,T
notice ent,62.09,34.86,89.29,T
metro deli,64.07,38.43,70.21,T
one head b,72.98,41.23,130.82,T
speakerpho,60.63,35.28,75.97,T
halogen of,23.1,15.16,21.74,P
company en,67.54,13.08,62.17,P
come decis,25.62,20.61,54.93,T
expected o,5.17,7.42,12.46,T
solidi um ,98.12,94.17,102.73,T
offices wo,46.02,22.35,43.87,P
airline es,78.38,85.31,80.65,N
sal comp j,90.78,115.02,118.32,T
investment,41.18,42.36,50.05,T
net sales ,34.85,37.52,46.42,T
maximum ne,25.96,29.08,47.44,T
work assig,37.86,14.6,40.6,T
repurchase,28.06,13.91,78.84,T
Sweden gal,18.81,13.4,29.36,T
profitabil,34.93,36.61,34.55,N
rap ala ai,85.69,37.22,133.48,T
proposed c,30.07,15.45,34.04,T
euro chem ,74.89,49.91,66.6,P
fl group p,62.93,45.59,66.05,T
Finnish pr,48.42,35.66,80.76,T
number col,19.3,19.01,26.74,T
new types ,50.96,69.03,99.51,T
rap ala es,62.29,43.42,57.1,P
decisions ,14.18,7.82,5.77,P
sandbank s,42.88,43.71,46.65,T
based Hels,20.87,7.42,26.25,T
Doppler me,86.38,36.13,72.28,P
original n,68.87,74.5,91.56,T
revivalist,117.49,41.72,121.59,T
transactio,48.76,21.86,53.02,T
rm Walden ,39.99,28.06,37.01,P
contract i,33.2,38.61,51.7,T
total revi,60.58,51.55,77.74,T
addition v,109.14,61.07,104.05,P
asset mana,31.17,17.44,54.57,T
creating i,52.27,7.82,73.18,T
first stag,16.97,27.0,38.41,T
noma also ,54.66,44.27,86.92,T
emirate he,60.79,52.01,85.79,T
kaukotelko,51.07,29.85,75.77,T
issues ide,26.74,14.75,49.2,T
Finnish pu,86.46,64.91,110.99,T
board dire,61.96,43.05,85.53,T
also cab i,36.7,41.94,56.13,T
casing com,130.15,84.31,109.0,P
official o,21.6,7.82,18.6,P
hawker tak,65.38,36.89,70.17,T
stone soft,44.83,23.88,37.36,P
outsourced,69.77,53.41,125.3,T
nonrecurri,35.43,35.66,29.3,N
implementa,77.32,68.05,72.12,P
financial ,12.24,6.44,23.28,T
turnover r,24.14,21.46,28.49,T
square met,28.42,15.16,55.99,T
authorizat,17.16,11.23,40.46,T
stock hit ,52.64,61.08,45.54,N
sente ship,49.29,45.76,57.6,T
candor ab ,34.14,34.66,49.32,T
addition f,72.59,53.96,73.81,T
inventor i,12.83,13.37,18.97,T
main stren,48.23,39.12,56.42,T
bovine sla,21.49,0.2,22.31,T
sinter pla,44.02,23.88,94.75,T
project al,11.51,22.96,42.18,T
revivalist,51.82,32.88,45.72,P
fourth qua,46.15,52.02,59.22,T
figure inc,51.77,48.14,56.04,T
employees ,41.78,53.46,68.18,T
Estonian t,118.88,101.13,98.04,P
serviceabl,21.72,7.82,28.56,T
seven mont,77.72,64.38,74.21,P
bond value,18.77,22.37,32.26,T
rm Kristin,59.32,41.65,80.91,T
customers ,41.79,37.04,49.79,T
sale allow,77.29,50.56,85.76,T
sale compr,33.35,35.84,72.09,T
net invest,17.06,19.6,17.42,N
eel board ,52.66,33.39,66.43,T
operating ,67.1,60.74,87.16,T
please inf,28.25,44.66,84.97,T
production,85.22,22.27,50.09,P
overall re,61.82,27.54,71.28,T
almost ent,27.95,23.07,33.15,T
constructi,31.99,28.28,41.23,T
completed ,21.21,7.42,11.56,P
according ,43.61,32.23,38.53,P
noma annou,19.92,23.07,32.09,T
operating ,58.64,59.55,79.02,T
result tra,34.88,22.27,45.04,T
profit tax,27.03,33.97,42.9,T
stead base,36.32,23.19,41.03,T
according ,45.39,36.06,54.23,T
markets al,53.21,50.73,57.22,T
around red,14.52,7.82,37.55,T
annual rep,61.52,58.09,73.62,T
electricit,32.99,15.04,38.7,T
Nokia mess,39.85,23.07,67.47,T
Finnish li,116.87,72.6,95.43,P
previous o,20.24,13.55,31.5,T
include so,87.92,88.51,125.7,T
Russian me,41.64,27.1,76.86,T
reporting ,54.51,43.22,125.06,T
also turne,65.85,65.31,51.47,P
ministry w,57.44,39.93,87.7,T
Finnish gl,88.45,88.16,93.75,T
comparable,37.13,44.63,49.48,T
Odell cont,6.96,0.2,12.72,T
newly comp,45.04,11.26,68.09,T
cost deal ,68.92,46.8,86.28,T
stor ens b,59.19,57.73,61.46,T
currently ,42.33,22.37,50.06,T
formation ,90.55,60.6,111.34,T
gean ford ,35.43,12.65,36.85,T
stannary a,87.84,50.01,73.11,P
memetic cl,67.65,52.83,58.02,P
company pl,29.89,26.71,50.82,T
firm servi,62.16,28.2,69.32,T
FCC chairm,78.55,37.07,79.78,T
new activi,17.56,38.02,23.13,N
uncap expe,28.45,22.93,28.29,P
operating ,35.23,37.17,47.87,T
board esta,60.93,31.21,96.47,T
rareness m,28.69,22.56,30.47,T
repair mai,32.22,28.98,44.31,T
demand fir,33.18,34.98,34.83,N
company di,36.63,26.22,34.01,P
showcase e,55.71,22.66,90.89,T
operating ,26.21,21.52,27.63,T
hosting mo,48.4,38.43,75.78,T
neverthele,59.48,22.96,56.36,P
correspond,24.3,26.78,42.46,T
company bo,78.35,43.48,80.12,T
company pr,19.5,29.61,23.26,N
operating ,30.02,37.62,47.88,T
Motorola i,107.95,84.59,133.34,T
period sal,50.64,62.32,61.12,N
webmaster ,36.09,14.75,58.24,T
customers ,27.04,21.97,62.18,T
operating ,20.01,21.52,27.63,T
name newsp,28.25,45.94,64.27,T
according ,89.23,49.64,94.7,T
fair value,70.92,69.9,63.54,P
activities,43.25,22.22,52.29,T
previously,37.92,29.3,30.93,P
albata sol,89.97,99.49,139.87,T
Stockholm ,67.75,57.63,90.22,T
names yet ,0.7,7.82,23.32,T
humankind ,94.04,81.41,98.04,T
atria also,55.94,28.57,45.06,P
trade acco,26.49,21.05,31.63,T
altogether,14.52,29.55,23.32,N
company ex,16.57,12.67,30.52,T
product po,27.51,7.42,33.75,T
net intere,34.53,39.8,43.32,T
rm kr Sama,53.67,37.51,63.7,T
romeo twos,37.35,48.28,54.38,T
insurance ,6.45,7.13,7.16,T
provide he,22.19,15.85,37.72,T
constructi,73.09,64.37,63.48,P
brassware ,100.43,54.66,140.78,T
annual rep,43.44,45.43,57.77,T
Europe nee,34.32,22.66,34.48,T
dirk Jones,113.87,43.28,90.69,P
Adams esta,51.94,56.9,80.19,T
Finnish go,109.38,89.4,96.7,P
replay ava,28.57,14.47,32.61,T
objective ,43.96,33.5,40.7,P
storefront,3.55,5.05,40.19,T
alpha grou,29.2,42.12,47.98,T
aero katab,56.62,43.8,59.43,T
net income,100.06,79.29,123.63,T
estimated ,46.13,41.85,51.81,T
hull vesse,50.82,38.14,69.41,T
conference,14.74,0.2,57.38,T
Finland la,59.93,56.86,57.53,P
unit costs,23.33,32.54,32.38,N
Bertrand s,37.35,39.24,53.46,T
cognomen s,93.49,38.2,127.12,T
insurance ,31.29,26.34,24.8,P
Finnish fo,45.34,34.16,55.92,T
aim CEO QA,50.87,29.83,55.59,T
soon colli,14.74,0.2,6.37,P
difference,32.81,27.57,40.65,T
biggest se,28.79,30.25,41.61,T
first quar,46.59,45.28,57.88,T
sales Finl,44.01,50.44,65.74,T
total floo,34.93,22.49,46.07,T
profit per,24.72,26.6,35.91,T
value mult,20.04,16.3,20.59,T
operating ,42.41,45.65,51.21,T
Finland ho,15.18,20.11,39.56,T
marketing ,45.23,15.45,49.49,T
blk launch,16.61,19.19,30.49,T
Maelstrom ,11.02,11.86,18.15,T
net profit,21.4,24.24,26.25,T
potential ,79.89,42.99,64.82,P
absolute b,5.29,6.32,5.24,N
company pr,17.05,20.01,22.41,T
group post,54.4,60.09,60.18,T
devices wo,27.16,23.23,40.91,T
earnings p,36.26,40.21,35.69,N
group loya,51.27,64.76,82.09,T
emirate pa,27.75,31.91,41.38,T
Finnish so,79.32,77.83,84.66,T
investment,50.79,7.82,52.58,T
servicewom,35.88,6.91,34.5,P
contract i,25.4,14.02,44.12,T
following ,39.28,43.41,56.13,T
finesses e,53.92,42.4,67.41,T
lollipop a,38.73,23.88,57.22,T
systematis,42.25,32.26,41.11,P
profit tax,54.47,63.61,78.14,T
months ago,56.72,58.48,66.88,T
pretax pro,32.49,28.66,32.46,P
combined v,24.02,27.01,22.76,N
shares sub,28.69,20.95,46.03,T
operating ,34.29,31.82,49.48,T
polacca co,44.71,23.88,49.02,T
report exa,99.15,49.23,79.59,P
company em,56.44,44.64,50.02,P
Helsinki f,69.15,27.94,77.48,T
bank leasi,55.75,42.88,57.53,T
ISO certif,27.77,7.42,35.9,T
megawatt w,21.02,14.75,63.47,T
share tran,43.09,42.07,53.29,T
market mak,18.2,13.5,32.17,T
com possib,4.69,6.91,12.44,T
January Fi,86.61,61.23,98.76,T
Sharon net,24.03,19.35,26.47,T
point spre,12.76,6.91,12.44,P
food trade,28.21,36.87,28.69,N
paper mill,42.1,15.04,31.1,P
initial es,50.14,37.42,54.63,T
net sales ,37.84,36.59,42.44,T
fixed acqu,50.89,48.8,61.16,T
noma news ,29.55,29.89,39.08,T
Stokes off,38.04,7.42,40.82,T
rally auth,20.8,14.47,45.73,T
annual gen,109.95,97.9,125.75,T
measures r,48.98,35.39,58.71,T
lama media,76.12,65.54,80.47,T
neither co,12.73,15.45,28.58,T
six agreem,70.86,39.74,89.99,T
payment da,6.96,6.32,20.46,T
pretax pro,26.49,23.05,38.57,T
bank poste,20.52,22.76,23.22,T
aim annual,57.81,47.08,61.31,T
economic d,108.35,81.4,144.93,T
company re,3.55,5.05,11.5,T
runway vis,7.37,7.82,45.56,T
number cus,42.15,37.45,50.38,T
amount inc,7.37,15.85,14.05,N
filter use,5.57,15.85,41.93,T
following ,44.63,35.0,51.41,T
action fol,68.11,30.81,91.42,T
payment sh,5.98,6.22,24.79,T
time profi,26.98,39.69,39.01,N
demeanor c,19.74,22.96,18.16,N
apart deme,33.51,29.89,59.41,T
Finnish ra,36.94,29.89,58.86,T
contract a,17.22,20.32,16.55,N
ISO omens ,20.29,31.21,41.43,T
lateen Ame,68.85,49.2,77.98,T
ADP news N,110.9,98.34,119.71,T
diluted ea,36.26,41.02,28.61,N
financial ,13.49,14.47,17.95,T
merger ump,28.82,29.48,46.04,T
sandbank h,27.03,37.92,62.27,T
Orion net ,58.48,69.42,76.76,T
operating ,67.1,60.74,87.16,T
net sales ,23.78,32.66,36.4,T
talks invo,48.4,23.33,59.56,T
savings fu,28.69,15.16,21.12,P
inventors ,0.7,0.2,0.09,P
ump talkin,88.85,87.53,81.57,P
July marke,39.8,28.57,44.09,T
Surabaja d,43.34,46.45,65.49,T
demeanor b,44.11,42.41,38.48,P
pertinent ,14.12,22.63,34.2,T
tightened ,70.95,64.85,66.36,P
fine print,15.03,7.82,15.15,T
public ser,25.97,14.94,21.66,P
price kroo,13.09,38.02,47.98,T
company sa,60.44,49.85,60.96,T
recent int,81.11,70.69,112.47,T
deal inclu,61.28,43.05,79.95,T
valet auto,43.15,37.55,44.66,T
Finnish li,97.11,92.1,100.34,T
net income,83.24,68.98,109.94,T
operating ,20.01,26.71,35.8,T
employer t,20.19,7.82,43.05,T
performanc,12.44,6.91,21.42,T
takeover c,59.53,27.47,57.46,P
tower engi,74.22,22.56,105.52,T
national s,34.61,23.07,82.48,T
options mi,14.52,6.44,24.56,T
order incl,36.96,35.4,38.27,T
inventors ,7.37,0.2,7.67,T
Amanda cap,36.02,30.58,45.72,T
inlet atom,79.95,62.09,85.24,T
process te,67.78,68.05,71.66,T
second qua,33.64,45.86,46.48,T
report ema,25.49,30.07,30.22,T
earnings p,29.57,38.88,36.78,N
complete n,49.39,58.31,88.72,T
huge bridg,28.4,7.82,33.35,T
location m,68.53,30.4,72.18,T
size cider,15.03,6.73,21.94,T
risk expos,106.67,64.94,127.58,T
time Nokia,23.38,12.5,37.82,T
MN pretax ,36.21,38.25,49.67,T
porphyry n,29.49,24.73,47.1,T
estimated ,65.86,62.83,98.72,T
Estonia ag,20.54,5.81,21.31,T
